"rotten_tomatoes_link","critic_name","top_critic","publisher_name","review_type","review_score","review_date","review_content","letter_grade","numeric_score","binary_score_numeric","normalized_score"
"m/0814255","","False","FILMINK (Australia)","Fresh","","2010-02-09","With a top-notch cast and dazzling special effects, this will tide the teens over until the next Harry Potter instalment.",NA,NA,1,NA
"m/0814255","","False","National Post","Rotten","2.5/4","2010-02-12","",NA,6.25,0,0.119935917099275
"m/0814255","","True","Time Out","Rotten","2/5","2010-02-16","It's not enough to compensate for the computer-game-style plotting, which is largely based on us picking up narrative nuggets that mechanically slot into place later on.",NA,4,0,-0.853760923015028
"m/0878835","","False","National Post","Rotten","2.5/4","2010-04-30","",NA,6.25,0,0.119935917099275
"m/10","","False","TV Guide","Fresh","4/5","2003-06-15","",NA,8,1,0.877255681632622
"m/1000013-12_angry_men","","False","TV Guide","Fresh","4/5","2001-11-11","Cinema heresy that worked.",NA,8,1,0.877255681632622
"m/1000013-12_angry_men","","False","Film4","Fresh","","2009-04-24","Not much action, lots of words, great cinema.",NA,NA,1,NA
"m/1000079-20000_leagues_under_the_sea","","False","Boxoffice Magazine","Fresh","","2001-06-13","Thrill-freighted are the underwater action sequences, topped by a tensely exciting battle with a giant squid...",NA,NA,1,NA
"m/1000079-20000_leagues_under_the_sea","","False","TV Guide","Fresh","4/4","2007-06-06","One of the best Disney live action films and a classic fantasy-adventure.",NA,10,1,1.74276398395645
"m/10000_bc","","False","The Sun (UK)","Rotten","2/5","2008-03-14","Director Roland Emmerich has swapped disaster movies like The Day After Tomorrow and Godzilla for, well, a disaster of a movie.",NA,4,0,-0.853760923015028
"m/10000_bc","","False","Daily Mirror (UK)","Rotten","1/5","2008-03-14","In what might be a record, the makers of this prehistoric drama spent two years and 20m fine-tuning the special effects to ensure its cast of mammoths, sabre-toothed tigers and maneating birds looked as realistic as possible.",NA,2,0,-1.71926922533885
"m/10000_bc","","False","Total Film","Rotten","1/5","2008-03-14","A beggar's banquet of milky CGI beasties and clunky battle-porn set-pieces, 10,000 B.C. is an extravagant waste of time, money and effort. Fans of caveman antics may want to go with something more historically accurate. Like The Flintstones.",NA,2,0,-1.71926922533885
"m/10000_bc","","False","Empire Magazine","Fresh","3/5","2008-03-14","The mammoths aren't all that is wild and woolly in this innocent, old-fashioned, amusingly self-important, entertainingly mad, rip-snorting throwback to vintage Saturday matinee fare.",NA,6,1,0.0117473793087968
"m/1000121-39_steps","","False","TV Guide","Fresh","5/5","2000-01-01","For those who love a grand spy mystery, a wild chase, and a harrowing portrait of an innocent man struggling to prove his innocence while the world turns inexplicably against him, The 39 Steps is ideal.",NA,10,1,1.74276398395645
"m/1000121-39_steps","","False","Total Film","Fresh","5/5","2008-04-11","All the fun of North By Northwest in a little over half the time, The 39 Steps is -- even for the umpteenth viewing -- absolutely unmissable.",NA,10,1,1.74276398395645
"m/1000121-39_steps","","True","TIME Magazine","Fresh","","2014-08-05","The Thirty-Nine Steps neatly converts its essential implausihility into an asset by stressing the difficulties which confront its hero when he tries to tell outsiders about the predicament he is in.",NA,NA,1,NA
"m/1000204-abraham_lincoln","","False","TV Guide","Fresh","3.5/4","2013-08-19","Brilliant flashes of direction permeate the entire film, and it remains distinctively a product of the great master.",NA,8.75,1,1.20182129500406
