"critic_name","count","numeric_score"
"A.O. Scott",1410,6.08049645390071
"Anton Bitel",431,7.01624129930394
"Bill Goodykoontz",1955,6.73508098891731
"Brian Orndorf",6045,4.30620347394541
"Carol Cling",2307,7.05223233636758
"Chris Hewitt",3526,6.31388258650028
"Christopher Null",2857,6.10325516275814
"Claudia Puig",2003,6.37843235147279
"Cole Smithey",3848,5.84472453222453
"Cynthia Fuchs",365,5.82465753424658
"Daniel M. Kimmel",2835,6.1120811287478
"Dave White",1821,5.13467874794069
"David Nusair",5245,5.70732125834128
"Dennis Schwartz",6488,5.27589395807645
"Dustin Putman",3497,5.81720045753503
"Edward Douglas",2090,6.91090909090909
"Emanuel Levy",7744,5.36854338842975
"Eric D. Snider",3861,4.76730121730122
"Felix Vasquez Jr.",382,6.22316753926702
"Frank Swietek",6019,3.77388270476823
"Fred Topel",589,6.05517826825127
"Frederic and Mary Ann Brussat",3233,6.83390040210331
"Gary Thompson",1544,5.56557642487047
"Harvey S. Karten",3723,6.22187751813054
"J. R. Jones",121,6.63223140495868
"James Berardinelli",5249,6.49957134692322
"James Kendrick",2752,7.0813226744186
"James Verniere",2221,6.0047276001801
"Jeff Vice",2249,5.90362383281458
"Jeffrey M. Anderson",4683,6.86830023489216
"Jeffrey Westhoff",2704,5.9709874260355
"Jim Judy",353,4.88810198300283
"Jim Lane",2258,5.2356067316209
"John Beifuss",2646,6.80394935752079
"John J. Puccio",2002,6.08491508491509
"Josh Bell",1955,5.21214833759591
"Josh Larsen",2481,6.70445384925433
"Kam Williams",1925,7.47662337662338
"Ken Hanke",4242,6.61274163130599
"Kenneth Turan",1376,6.67714389534884
"Kevin Carr",2239,5.77914247431889
"Kyle Smith",1924,4.97414241164241
"Laura Clifford",3866,5.42783238489395
"Leigh Paatsch",1916,6.04922898083128
"Linda Cook",2859,6.82107671680075
"Lisa Schwarzbaum",2128,5.23872180451128
"Lou Lumenick",2171,5.63150621833257
"Luke Y. Thompson",711,6.2345288326301
"Maitland McDonagh",1792,5.75767299107143
"Marc Savlov",2338,5.03881522668948
"Marjorie Baumgarten",2019,5.41406636948985
"Mark Dujsik",3222,5.94265983860956
"MaryAnn Johanson",1000,6.44385
"Matt Brunson",3800,6.58032894736842
"Matt Pais",2360,5.62976694915254
"Matthew Turner",3728,6.41292918454936
"Michael Dequina",2935,6.20102214650767
"Michael Phillips",2348,6.52651192504259
"Mick LaSalle",2937,6.14964249233912
"Mike McGranaghan",3024,6.76365740740741
"Moira MacDonald",2387,6.85672392124005
"Nell Minow",5089,6.0568382786402
"Nick Schager",2374,4.72074557708509
"Owen Gleiberman",2977,4.93013100436681
"Pablo Villaça",2415,6.62060041407867
"Peter Bradshaw",3558,5.90725126475548
"Peter Canavese",2422,6.64791494632535
"Peter Howell",2320,6.45150862068965
"Peter Rainer",1958,5.34997446373851
"Peter Travers",3110,6.54139871382637
"Phil Villarreal",2078,7.00517324350337
"Philip Martin",4504,6.08141651865009
"Rich Cline",4990,6.73516032064128
"Richard Propes",2144,6.95429104477612
"Richard Roeper",1468,6.78320844686649
"Rob Blackwelder",2074,6.04291224686596
"Rob Vaux",2153,5.48130515559684
"Robert Denerstein",1048,4.65386450381679
"Robert Roten",3298,6.22127046694967
"Robin Clifford",2993,5.66338122285332
"Roger Ebert",6398,7.00179743669897
"Roger Moore",5465,5.80414913083257
"Sara Michelle Fetters",2524,6.60003961965135
"Scott Weinberg",3913,6.21523128034756
"Sean Axmaker",829,5.14686369119421
"Sean P. Means",2796,6.78353004291846
"Stephanie Zacharek",326,6.75
"Stephen Whitty",2368,6.16480152027027
"Steve Rhodes",2927,6.06970105910489
"Steven Rea",2034,7.00528515240905
"Susan Granger",3830,6.13067885117493
"Tim Brayton",3269,6.2707249923524
"Todd Jorgenson",46,5.03804347826087
"Tom Long",2332,5.00621783876501
"Ty Burr",2562,6.55347384855582
"Walter Chaw",2566,5.29764224473889
"Wesley Morris",1620,5.88533950617284
